fips,Rate,County,State,Deaths,Population
01001,6.72,Autauga County,AL,Suppressed,56145
01003,6.72,Baldwin County,AL,Suppressed,229287
01005,6.72,Barbour County,AL,Suppressed,24589
01007,6.72,Bibb County,AL,Suppressed,22136
01009,6.72,Blount County,AL,Suppressed,57879
01011,6.72,Bullock County,AL,Suppressed,9976
01013,6.72,Butler County,AL,Suppressed,19504
01015,6.72,Calhoun County,AL,Suppressed,113469
01017,6.72,Chambers County,AL,Suppressed,32865
01019,6.72,Cherokee County,AL,Suppressed,26294
01021,6.72,Chilton County,AL,Suppressed,44397
01023,6.72,Choctaw County,AL,Suppressed,12418
01025,6.72,Clarke County,AL,Suppressed,23291
01027,6.72,Clay County,AL,Suppressed,13112
01029,6.72,Cleburne County,AL,Suppressed,14967
01031,6.72,Coffee County,AL,Suppressed,53230
01033,6.72,Colbert County,AL,Suppressed,55411
01035,6.72,Conecuh County,AL,Suppressed,11851
01037,6.72,Coosa County,AL,Suppressed,10650
01039,6.72,Covington County,AL,Suppressed,36930
01041,6.72,Crenshaw County,AL,Suppressed,13681
01043,6.72,Cullman County,AL,Suppressed,84515
01045,6.72,Dale County,AL,Suppressed,48959
01047,30.47,Dallas County,AL,11,36098
01049,6.72,DeKalb County,AL,Suppressed,71658
01051,6.72,Elmore County,AL,Suppressed,82158
01053,6.72,Escambia County,AL,Suppressed,36281
01055,6.72,Etowah County,AL,Suppressed,102371
01057,6.72,Fayette County,AL,Suppressed,16241
01059,6.72,Franklin County,AL,Suppressed,31507
01061,6.72,Geneva County,AL,Suppressed,26411
01063,6.72,Greene County,AL,Suppressed,7990
01065,6.72,Hale County,AL,Suppressed,14670
01067,6.72,Henry County,AL,Suppressed,17223
01069,6.72,Houston County,AL,Suppressed,106580
01071,6.72,Jackson County,AL,Suppressed,51582
01073,27.01,Jefferson County,AL,177,655342
01075,6.72,Lamar County,AL,Suppressed,13764
01077,6.72,Lauderdale County,AL,Suppressed,93368
01079,6.72,Lawrence County,AL,Suppressed,32857
01081,7.19,Lee County,AL,12,166831
01083,6.72,Limestone County,AL,Suppressed,102228
01085,6.72,Lowndes County,AL,Suppressed,9641
01087,6.72,Macon County,AL,Suppressed,17895
01089,6.06,Madison County,AL,23,379453
01091,6.72,Marengo County,AL,Suppressed,18733
01093,6.72,Marion County,AL,Suppressed,29703
01095,6.72,Marshall County,AL,Suppressed,96990
01097,19.38,Mobile County,AL,80,412716
01099,6.72,Monroe County,AL,Suppressed,20459
01101,30.72,Montgomery County,AL,69,224639
01103,18.35,Morgan County,AL,22,119883
01105,6.72,Perry County,AL,Suppressed,8687
01107,6.72,Pickens County,AL,Suppressed,19793
01109,6.72,Pike County,AL,Suppressed,32966
01111,6.72,Randolph County,AL,Suppressed,22920
01113,6.72,Russell County,AL,Suppressed,58237
01115,6.72,St. Clair County,AL,Suppressed,90739
01117,6.72,Shelby County,AL,Suppressed,221428
01119,6.72,Sumter County,AL,Suppressed,12225
01121,28.76,Talladega County,AL,23,79985
01123,6.72,Tallapoosa County,AL,Suppressed,40133
01125,10.44,Tuscaloosa County,AL,22,210758
01127,6.72,Walker County,AL,Suppressed,63143
01129,6.72,Washington County,AL,Suppressed,15976
01131,6.72,Wilcox County,AL,Suppressed,10206
01133,6.72,Winston County,AL,Suppressed,23508
02013,1.13,Aleutians East Borough,AK,Suppressed,3401
02016,1.13,Aleutians West Census Area,AK,Suppressed,5680
02020,6.62,Anchorage Borough,AK,19,287095
02050,1.13,Bethel Census Area,AK,Suppressed,18437
02060,1.13,Bristol Bay Borough,AK,Suppressed,788
02068,1.13,Denali Borough,AK,Suppressed,2081
02070,1.13,Dillingham Census Area,AK,Suppressed,4833
02090,1.13,Fairbanks North Star Borough,AK,Suppressed,95651
02100,1.13,Haines Borough,AK,Suppressed,2614
02105,1.13,Hoonah-Angoon Census Area,AK,Suppressed,2141
02110,1.13,Juneau Borough,AK,Suppressed,31849
02122,1.13,Kenai Peninsula Borough,AK,Suppressed,59414
02130,1.13,Ketchikan Gateway Borough,AK,Suppressed,13747
02150,1.13,Kodiak Island Borough,AK,Suppressed,12992
02164,1.13,Lake and Peninsula Borough,AK,Suppressed,1493
02170,1.13,Matanuska-Susitna Borough,AK,Suppressed,110213
02180,1.13,Nome Census Area,AK,Suppressed,9909
02185,1.13,North Slope Borough,AK,Suppressed,9294
02188,1.13,Northwest Arctic Borough,AK,Suppressed,7644
02195,1.13,Petersburg Borough/Census Area,AK,Suppressed,3296
02198,1.13,Prince of Wales-Hyder Census Area,AK,Suppressed,6147
02201,1.13,Prince of Wales-Outer Ketchikan Census Area,AK,Missing,Missing
02220,1.13,Sitka Borough,AK,Suppressed,8405
02230,1.13,Skagway Municipality,AK,Suppressed,1179
02232,1.13,Skagway-Hoonah-Angoon Census Area,AK,Missing,Missing
02240,1.13,Southeast Fairbanks Census Area,AK,Suppressed,6957
02261,1.13,Valdez-Cordova Census Area,AK,Suppressed,Suppressed
02270,1.13,Wade Hampton Census Area,AK,Suppressed,8328
02275,1.13,Wrangell City and Borough,AK,Suppressed,2510
02280,1.13,Wrangell-Petersburg Census Area,AK,Missing,Missing
02282,1.13,Yakutat Borough,AK,Suppressed,637
02290,1.13,Yukon-Koyukuk Census Area,AK,Suppressed,5077
04001,19.48,Apache County,AZ,14,71875
04003,1.38,Cochise County,AZ,Suppressed,127450
04005,1.38,Coconino County,AZ,Suppressed,142481
04007,1.38,Gila County,AZ,Suppressed,54303
04009,1.38,Graham County,AZ,Suppressed,39211
04011,1.38,Greenlee County,AZ,Suppressed,9341
04012,1.38,La Paz County,AZ,Suppressed,21480
04013,6.97,Maricopa County,AZ,319,4579081
04015,6.91,Mohave County,AZ,15,217206
04017,25.87,Navajo County,AZ,29,112112
04019,7.16,Pima County,AZ,76,1061175
04021,5.82,Pinal County,AZ,28,480828
04023,1.38,Santa Cruz County,AZ,Suppressed,46808
04025,1.38,Yavapai County,AZ,Suppressed,240226
04027,1.38,Yuma County,AZ,Suppressed,217824
